type,role,sendMsgFile,handshake1_len,handshake2_len,handshake3_len,c2sCipher,c2sPlain,s2cCipher,s2cPlain,handshakeCPUTime,commCPUTime
ukey2,server,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,114320995,24806145
ukey2,client,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,116064567,43058233
ukey2,server,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,112087082,18790759
ukey2,client,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,101166182,42038622
ukey2,server,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,121542112,17314598
ukey2,client,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,118799869,32489123
ukey2,server,resources/plain.1KB.txt,136,118,78,1110,1024,1110,1024,105743027,21828321
ukey2,client,resources/plain.1KB.txt,136,118,78,1110,1024,1110,1024,107111318,40837841
ukey2,server,resources/plain.1KB.txt,136,118,79,1110,1024,1110,1024,113406994,19317689
ukey2,client,resources/plain.1KB.txt,136,118,79,1110,1024,1110,1024,111978862,34656895
ukey2,server,resources/plain.1KB.txt,136,118,78,1110,1024,1110,1024,108593879,21864982
ukey2,client,resources/plain.1KB.txt,136,118,78,1110,1024,1110,1024,111676102,31636312
ukey2,server,resources/plain.1KB.txt,136,116,80,1110,1024,1110,1024,124140994,20845502
ukey2,client,resources/plain.1KB.txt,136,116,80,1110,1024,1110,1024,125784016,31064092
ukey2,server,resources/plain.1KB.txt,136,116,80,1110,1024,1110,1024,114097985,23752104
ukey2,client,resources/plain.1KB.txt,136,116,80,1110,1024,1110,1024,116716848,35903516
ukey2,server,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,112800024,19931320
ukey2,client,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,115544867,29059399
ukey2,server,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,114536415,20910211
ukey2,client,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,115420316,32086132
ukey2,server,resources/plain.1KB.txt,136,116,80,1110,1024,1110,1024,108092379,20796511
ukey2,client,resources/plain.1KB.txt,136,116,80,1110,1024,1110,1024,109412670,30945351
ukey2,server,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,92078282,27908919
ukey2,client,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,100744631,31162151
ukey2,server,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,114593215,21160331
ukey2,client,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,117423158,34022724
